,formula,element1,element2
969,Co2Al5,Co,Al
970,Co3Al13,Co,Al
971,CoAl,Co,Al
972,CoGa,Co,Ga
973,CoGa3,Co,Ga
974,Co2C,Co,C
975,Co2N,Co,N
976,Co3N,Co,N
977,CoAs2,Co,As
978,CoP,Co,P
979,CoP2,Co,P
980,CoP3,Co,P
981,Co2P,Co,P
982,CoI2,Co,I
983,CoI3,Co,I
984,CoF2,Co,F
985,CoF3,Co,F
986,CoS,Co,S
987,Co2S3,Co,S
988,Co3S4,Co,S
989,CoSe,Co,Se
990,CoSe2,Co,Se
991,Co2Se3,Co,Se
992,Co3Se4,Co,Se
993,CoTe,Co,Te
994,CoTe2,Co,Te
995,CoCl2,Co,Cl
996,CoCl3,Co,Cl
997,CoBr2,Co,Br
998,CoO,Co,O
999,Co2O2,Co,O
1000,Co3O4,Co,O
1001,CoB,Co,B
1002,SiAs,Si,As
1003,SiAs2,Si,As
1004,B6Si,B,Si
1005,SiS2,Si,S
1006,SiO,Si,O
1007,SiO2,Si,O
1008,SiSe,Si,Se
1009,SiSe2,Si,Se
1010,SiTe,Si,Te
1011,SiTe2,Si,Te
1012,Si3N4,Si,N
1013,SiI4,Si,I
1014,SiF4,Si,F
1015,SiCl4,Si,Cl
1016,SiBr4,Si,Br
1017,SiC,Si,C
1018,SiH4,Si,H
1019,Si2H6,Si,H
1020,SiP,Si,P
1021,SiP2,Si,P
1022,HfB,Hf,B
1023,HfB2,Hf,B
1024,HfTc,Hf,Tc
1025,HfTc2,Hf,Tc
1026,HfCo,Hf,Co
1027,HfCo2,Hf,Co
1028,HfCo4,Hf,Co
1029,Hf2Co,Hf,Co
1030,HfNi,Hf,Ni
1031,HfNi5,Hf,Ni
1032,Hf2Ni,Hf,Ni
1033,Hf2Ni7,Hf,Ni
1034,Hf2Rh,Hf,Rh
1035,Hf2Rh3,Hf,Rh
1036,HfPd3,Hf,Pd
1037,HfPt2,Hf,Pt
1038,Hf2Pt,Hf,Pt
1039,HfAs,Hf,As
1040,HfAs2,Hf,As
1041,Hf4As,Hf,As
1042,HfAs,Hf,As
1043,Hf3Sb,Hf,Sb
1044,HfSb2,Hf,Sb
1045,HfBi2,Hf,Bi
1046,HfP,Hf,P
1047,Hf2P,Hf,P
1048,Hf3P,Hf,P
1049,HfP2,Hf,P
1050,HfC,Hf,C
1051,Hf2C,Hf,C
1052,HfSi,Hf,Si
1053,HfSi2,Hf,Si
1054,Hf5Si3,Hf,Si
1055,HfGe2,Hf,Ge
1056,HfGe,Hf,Ge
1057,Hf2Ge,Hf,Ge
1058,Hf5Sn3,Hf,Sn
1059,HfB,Hf,B
1060,HfB2,Hf,B
1061,Hf3Al2,Hf,Al
1062,HfAl2,Hf,Al
1063,HfAl3,Hf,Al
1064,HfBe2,Hf,Be
1065,HfBe5,Hf,Be
1066,HfBe13,Hf,Be
1067,HfCu2,Hf,Cu
1068,Hf2Au,Hf,Au
1069,HfV2,Hf,V
1070,HfNb2,Hf,Nb
1071,HfTa2,Hf,Ta
1072,HfCr2,Hf,Cr
1073,HfMo2,Hf,Mo
1074,HfW2,Hf,W
1075,HfMn2,Hf,Mn
1076,HfTc2,Hf,Tc
1077,HfRe2,Hf,Re
1078,HfCl4,Hf,Cl
1079,HfBr4,Hf,Br
1080,HfI4,Hf,I
1081,HfO2,Hf,O
1082,HfH,Hf,H
1083,HfH2,Hf,H
1084,HfF4,Hf,F
1085,HfCl4,Hf,Cl
1086,HfBr4,Hf,Br
1087,HfI4,Hf,I
1088,HfO2,Hf,O
1089,HfS2,Hf,S
1090,HfS3,Hf,S
1091,HfSe,Hf,Se
1092,HfSe2,Hf,Se
1093,HfSe3,Hf,Se
1094,HfTe,Hf,Te
1095,HfTe3,Hf,Te
1096,HfN,Hf,N
1097,HoH2,Ho,H
1098,HoH3,Ho,H
1099,HoTc2,Ho,Tc
1100,Ho3Se4,Ho,Se
1101,HoAl2,Ho,Al
1102,HoTl,Ho,Tl
1103,Ho2Tl,Ho,Tl
1104,Ho2Po3,Ho,Po
1105,HoGe,Ho,Ge
1106,Ho5Ge3,Ho,Ge
1107,HoSi,Ho,Si
1108,HoB4,Ho,B
1109,HoB6,Ho,B
1110,Ho2O3,Ho,O
1111,HoS,Ho,S
1112,Ho2S3,Ho,S
1113,HoBi,Ho,Bi
1114,HoSb,Ho,Sb
1115,HoAs,Ho,As
1116,HoN,Ho,N
1117,HoP,Ho,P
1118,HoC2,Ho,C
1119,Ho2C3,Ho,C
1120,HoBe13,Ho,Be
1121,HoBr3,Ho,Br
1122,HoCl3,Ho,Cl
1123,HoF3,Ho,F
1124,HoI3,Ho,I
1125,GaH3,Ga,H
1126,GaN,Ga,N
1127,GaF3,Ga,F
1128,GaP,Ga,P
1129,GaCl3,Ga,Cl
1130,GaCl2,Ga,Cl
1131,GaBr3,Ga,Br
1132,GaI3,Ga,I
1133,GaAs,Ga,As
1134,GaSb,Ga,Sb
1135,GaSe,Ga,Se
1136,Ga2Se,Ga,Se
1137,Ga2Se3,Ga,Se
1138,GaTe,Ga,Te
1139,Ga2Te3,Ga,Te
1140,Ga2S3,Ga,S
1141,Ga2O3,Ga,O
1142,K2Po,K,Po
1143,KNa2,K,Na
1144,KN3,K,N
1145,K2N,K,N
1146,KO2,K,O
1147,KI,K,I
1148,KF,K,F
1149,K2O2,K,O
1150,K2S,K,S
1151,K2S2,K,S
1152,K2S3,K,S
1153,K2S4,K,S
1154,KCl,K,Cl
1155,KH,K,H
1156,KBr,K,Br
1157,K2O,K,O
1158,K2Se,K,Se
1159,K2Te,K,Te
1160,K3P,K,P
1161,K3As,K,As
1162,K3Sb,K,Sb
1163,K5Sb4,K,Sb
1164,K3Bi,K,Bi
1165,KBi2,K,Bi
1166,K2C2,K,C
1167,KSi,K,Si
1168,KSi6,K,Si
1169,KGe,K,Ge
1170,KSn2,K,Sn
1171,KPb2,K,Pb
1172,KB6,K,B
1173,K5Ga8,K,Ga
1174,K5In8,K,In
1175,K5Tl8,K,Tl
1176,K2Cs,K,Cs
1177,KAu5,K,Au
1178,KZn13,K,Zn
1179,KCd13,K,Cd
1180,KHg2,K,Hg
1181,KRe,K,Re
1182,Au2Pb,Au,Pb
1183,AuAl2,Au,Al
1184,AuZr2,Au,Zr
1185,Au2Mn,Au,Mn
1186,Au3Mn,Au,Mn
1187,Au4Mn,Au,Mn
1188,AuMn3,Au,Mn
1189,AuTa,Au,Ta
1190,AuTa2,Au,Ta
1191,AuTa3,Au,Ta
1192,Au2V,Au,V
1193,Au3V,Au,V
1194,Au4V,Au,V
1195,Au3U,Au,U
1196,AuLa,Au,La
1197,Au3La,Au,La
1198,Au2Ho,Au,Ho
1199,Au2Gd,Au,Gd
1200,Au2Er,Au,Er
1201,Au2Dy,Au,Dy
1202,Au2P3,Au,P
1203,AuB2,Au,B
1204,Au2Sr,Au,Sr
1205,Au3Sr,Au,Sr
1206,Au2Be,Au,Be
1207,Au3Be,Au,Be
1208,AuI3,Au,I
1209,AuI,Au,I
1210,AuSb2,Au,Sb
1211,AuF3,Au,F
1212,AuF5,Au,F
1213,Au4Cl8,Au,Cl
1214,AuCl3,Au,Cl
1215,AuCl,Au,Cl
1216,Au2S3,Au,S
1217,Au2S,Au,S
1218,Au3Te5,Au,Te
1219,AuSn,Au,Sn
1220,Au2Se3,Au,Se
1221,AuBr3,Au,Br
1222,AuBr,Au,Br
1223,Au2O3,Au,O
1224,N2H4,N,H
1225,CmH2,Cm,H
1226,CmI3,Cm,I
1227,CmBr3,Cm,Br
1228,CmCl3,Cm,Cl
1229,CmF3,Cm,F
1230,CmO2,Cm,O
1231,Cm2O3,Cm,O
1232,CmS,Cm,S
1233,CmS2,Cm,S
1234,Cm2S3,Cm,S
1235,CmSe,Cm,Se
1236,CmSe2,Cm,Se
1237,Cm2Se3,Cm,Se
1238,CmTe,Cm,Te
1239,CmTe2,Cm,Te
1240,CmTe3,Cm,Te
1241,Cm2Te3,Cm,Te
1242,CmN,Cm,N
1243,CmP,Cm,P
1244,CmAs,Cm,As
1245,CmSb,Cm,Sb
1246,Cm2C3,Cm,C
1247,CmPt3,Cm,Pt
1248,CmPt5,Cm,Pt
1249,CmPd3,Cm,Pd
1250,CmRh3,Cm,Rh
1251,CfH2,Cf,H
1252,CfO2,Cf,O
1253,Cf2O3,Cf,O
1254,CfF3,Cf,F
1255,CfF4,Cf,F
1256,CfCl3,Cf,Cl
1257,CfBr2,Cf,Br
1258,CfI2,Cf,I
1259,CfI3,Cf,I
1260,CfN,Cf,N
1261,Cf2S3,Cf,S
1262,Cf2Se3,Cf,Se
1263,Cf2Te3,Cf,Te
1264,ScH2,Sc,H
1265,ScTc2,Sc,Tc
1266,ScC,Sc,C
1267,ScC2,Sc,C
1268,ScSi,Sc,Si
1269,Sc5Si3,Sc,Si
1270,Sc3Si5,Sc,Si
1271,Sc5Ge3,Sc,Ge
1272,ScI3,Sc,I
1273,Sc2S3,Sc,S
1274,Sc2Se3,Sc,Se
1275,ScTe,Sc,Te
1276,Sc2Te3,Sc,Te
1277,ScBi,Sc,Bi
1278,ScSb,Sc,Sb
1279,ScAs,Sc,As
1280,ScN,Sc,N
1281,ScP,Sc,P
1282,ScB4,Sc,B
1283,ScB6,Sc,B
1284,ScAl2,Sc,Al
1285,ScAl3,Sc,Al
1286,ScBe5,Sc,Be
1287,ScBe13,Sc,Be
1288,ScF3,Sc,F
1289,ScCl3,Sc,Cl
1290,Sc2O3,Sc,O
1291,ScBr3,Sc,Br
1292,KrF2,Kr,F
1293,ReBe2,Re,Be
1294,Re3As7,Re,As
1295,ReSi,Re,Si
1296,ReSi2,Re,Si
1297,Re3Si,Re,Si
1298,Re5Si3,Re,Si
1299,ReGe2,Re,Ge
1300,ReP,Re,P
1301,Re2P,Re,P
1302,ReP2,Re,P
1303,ReP3,Re,P
1304,Re3B,Re,B
1305,Re7B3,Re,B
1306,ReAl2,Re,Al
1307,ReAl4,Re,Al
1308,ReAl5,Re,Al
1309,ReAl12,Re,Al
1310,ReBe2,Re,Be
1311,ReBe22,Re,Be
1312,ReF4,Re,F
1313,ReF6,Re,F
1314,ReF7,Re,F
1315,ReCl3,Re,Cl
1316,ReCl5,Re,Cl
1317,ReBr3,Re,Br
1318,ReBr4,Re,Br
1319,ReBr5,Re,Br
1320,ReI4,Re,I
1321,ReS2,Re,S
1322,ReS7,Re,S
1323,Re2S7,Re,S
1324,ReSe2,Re,Se
1325,Re2Se7,Re,Se
1326,ReTe2,Re,Te
1327,ReO2,Re,O
1328,ReO3,Re,O
1329,Re2O7,Re,O
1330,La2Se3,La,Se
1331,LaSe,La,Se
1332,LaGa2,La,Ga
1333,LaZn,La,Zn
1334,LaZn2,La,Zn
1335,LaZn5,La,Zn
1336,LaZn11,La,Zn
1337,LaCd,La,Cd
1338,LaCd2,La,Cd
1339,LaCd11,La,Cd
1340,LaHg,La,Hg
1341,LaHg2,La,Hg
1342,LaHg3,La,Hg
1343,LaHg4,La,Hg
1344,LaIn,La,In
1345,La3In,La,In
1346,LaTl,La,Tl
1347,La2Tl,La,Tl
1348,LaSi,La,Si
1349,La5Ge3,La,Ge
1350,LaGe,La,Ge
1351,La2Po3,La,Po
1352,La3Se4,La,Se
1353,La4Se7,La,Se
1354,LaTe,La,Te
1355,La2Te3,La,Te
1356,LaB4,La,B
1357,LaB6,La,B
1358,LaBr3,La,Br
1359,LaI3,La,I
1360,LaAl2,La,Al
1361,LaBi,La,Bi
1362,LaSb,La,Sb
1363,LaS,La,S
1364,La2S3,La,S
1365,LaN,La,N
1366,LaC,La,C
1367,LaC2,La,C
1368,LaBe13,La,Be
1369,LaH2,La,H
1370,LaH3,La,H
1371,LaF3,La,F
1372,LaCl3,La,Cl
1373,La2O3,La,O
1374,LaN,La,N
1375,LaAs,La,As
1376,RhH,Rh,H
1377,RhBe,Rh,Be
1378,Rh3Pa,Rh,Pa
1379,RhB2,Rh,B
1380,Rh2B,Rh,B
1381,Rh5B4,Rh,B
1382,Rh7B3,Rh,B
1383,RhGa,Rh,Ga
1384,RhGa3,Rh,Ga
1385,RhBe2,Rh,Be
1386,RhZn2,Rh,Zn
1387,Rh5Zn21,Rh,Zn
1388,Rh5Cd21,Rh,Cd
1389,Rh3Cu,Rh,Cu
1390,RhCu3,Rh,Cu
1391,Rh2Cu3,Rh,Cu
1392,RhF3,Rh,F
1393,RhF5,Rh,F
1394,RhF6,Rh,F
1395,RhCl2,Rh,Cl
1396,RhCl3,Rh,Cl
1397,RhBr3,Rh,Br
1398,RhI3,Rh,I
1399,RhO2,Rh,O
1400,Rh2O3,Rh,O
1401,RhS,Rh,S
1402,RhS3,Rh,S
1403,Rh2S3,Rh,S
1404,RhSe,Rh,Se
1405,RhSe2,Rh,Se
1406,Rh3Se8,Rh,Se
1407,RhTe,Rh,Te
1408,RhTe2,Rh,Te
1409,Rh3Te2,Rh,Te
1410,Rh3Te8,Rh,Te
1411,RhN2,Rh,N
1412,Rh2P,Rh,P
1413,RhP2,Rh,P
1414,RhP3,Rh,P
1415,Rh2As,Rh,As
1416,RhAs,Rh,As
1417,RhAs2,Rh,As
1418,RhAs3,Rh,As
1419,RhSb,Rh,Sb
1420,RhSb2,Rh,Sb
1421,RhSb3,Rh,Sb
1422,RhBi,Rh,Bi
1423,RhBi2,Rh,Bi
1424,RhBi3,Rh,Bi
1425,RhBi4,Rh,Bi
1426,RhC,Rh,C
1427,RhC2,Rh,C
1428,RhSi,Rh,Si
1429,Rh2Si,Rh,Si
1430,Rh4Si5,Rh,Si
1431,Rh5Si3,Rh,Si
1432,RhGe,Rh,Ge
1433,Rh2Ge,Rh,Ge
1434,Rh3Ge4,Rh,Ge
1435,RhSn,Rh,Sn
1436,RhSn2,Rh,Sn
1437,RhSn3,Rh,Sn
1438,RhSn4,Rh,Sn
1439,Rh2Sn,Rh,Sn
1440,RhPb2,Rh,Pb
1441,RaCl2,Ra,Cl
1442,RaPo,Ra,Po
1443,RaH2,Ra,H
1444,RaF2,Ra,F
1445,RaI2,Ra,I
1446,RaO,Ra,O
1447,RaS,Ra,S
1448,RaSe,Ra,Se
1449,Ra3N2,Ra,N
1450,RaAg,Ra,Ag
1451,RaIr,Ra,Ir
1452,Ir3Pa,Ir,Pa
1453,RaHg,Ra,Hg
1454,RaBr2,Ra,Br
1455,Li3P,Li,P
1456,LiPt,Li,Pt
1457,LiIr,Li,Ir
1458,Li2Po,Li,Po
1459,LiB6,Li,B
1460,LiAl,Li,Al
1461,LiGa,Li,Ga
1462,LiIn,Li,In
1463,LiTl,Li,Tl
1464,Li2Ca,Li,Ca
1465,LiSr7,Li,Sr
1466,Li3Au,Li,Au
1467,LiZn,Li,Zn
1468,LiCd,Li,Cd
1469,Li3Cd,Li,Cd
1470,Li3Hg,Li,Hg
1471,PtLi,Pt,Li
1472,Li3Tl,Li,Tl
1473,LiBi,Li,Bi
1474,Li3N,Li,N
1475,LiN3,Li,N
1476,Li3As,Li,As
1477,LiI,Li,I
1478,LiF,Li,F
1479,Li2Se,Li,Se
1480,Li2Te,Li,Te
1481,Li3Sb,Li,Sb
1482,Li2S,Li,S
1483,Li2S2,Li,S
1484,Li2O2,Li,O
1485,LiCl,Li,Cl
1486,LiH,Li,H
1487,LiBr,Li,Br
1488,Li2O,Li,O
1489,Li2C2,Li,C
1490,Li2Si,Li,Si
1491,Li4Si,Li,Si
1492,Li4Ge,Li,Ge
1493,Li22Sn5,Li,Sn
1494,LiSn,Li,Sn
1495,LiPb,Li,Pb
1496,Li3Pb,Li,Pb
1497,RuBe2,Ru,Be
1498,RuS2,Ru,S
1499,RuB,Ru,B
1500,RuB2,Ru,B
1501,Ru2B5,Ru,B
1502,Ru11B8,Ru,B
1503,RuF5,Ru,F
1504,RuF6,Ru,F
1505,RuCl3,Ru,Cl
1506,RuBr3,Ru,Br
1507,RuI3,Ru,I
1508,RuO2,Ru,O
1509,RuO3,Ru,O
1510,RuO4,Ru,O
1511,RuS2,Ru,S
1512,RuSe2,Ru,Se
1513,RuTe2,Ru,Te
1514,RuN,Ru,N
1515,RuP,Ru,P
1516,RuP2,Ru,P
1517,Ru2P,Ru,P
1518,RuAs,Ru,As
1519,RuAs2,Ru,As
1520,RuSb,Ru,Sb
1521,RuSb2,Ru,Sb
1522,RuBi,Ru,Bi
1523,RuBi3,Ru,Bi
1524,RuC,Ru,C
1525,RuSi,Ru,Si
1526,Ru2Si,Ru,Si
1527,Ru4Si3,Ru,Si
1528,RuGe,Ru,Ge
1529,Ru2Ge,Ru,Ge
1530,Ru2Ge3,Ru,Ge
1531,RuSn2,Ru,Sn
1532,Ru2Sn3,Ru,Sn
1533,Ru3Sn7,Ru,Sn
1534,RuB,Ru,B
1535,RuB2,Ru,B
1536,Ru2B5,Ru,B
1537,Ru7B3,Ru,B
1538,RuAl,Ru,Al
1539,RuAl2,Ru,Al
1540,RuAl3,Ru,Al
1541,Ru2Al3,Ru,Al
1542,RuGa,Ru,Ga
1543,RuGa2,Ru,Ga
1544,RuGa3,Ru,Ga
1545,Ru3In,Ru,In
1546,RuIn3,Ru,In
1547,RuBe2,Ru,Be
1548,Ru2Be3,Ru,Be
1549,Ru3Be10,Ru,Be
1550,Ru3Be17,Ru,Be
1551,RuSc,Ru,Sc
1552,Ru2Sc,Ru,Sc
1553,RuY,Ru,Y
1554,Ru2Y,Ru,Y
1555,Ru2La,Ru,La
1556,Ru2Ce,Ru,Ce
1557,Ru2Pr,Ru,Pr
1558,Ru2Nd,Ru,Nd
1559,Ru2Sm,Ru,Sm
1560,Ru2Gd,Ru,Gd
1561,Ru2Tb,Ru,Tb
1562,Ru2Dy,Ru,Dy
1563,Ru2Ho,Ru,Ho
1564,Ru2Er,Ru,Er
1565,Ru2Tm,Ru,Tm
1566,Ru2Yb,Ru,Yb
1567,Ru2Lu,Ru,Lu
1568,RuTi,Ru,Ti
1569,RuZr,Ru,Zr
1570,Ru2Zr,Ru,Zr
1571,RuHf,Ru,Hf
1572,RuTh,Ru,Th
1573,Ru2Th,Ru,Th
1574,Ru2Th3,Ru,Th
1575,Ru3Th7,Ru,Th
1576,RuV,Ru,V
1577,RuNb,Ru,Nb
1578,RuCr2,Ru,Cr
1579,RuCr3,Ru,Cr
1580,Ru3Mo5,Ru,Mo
1581,Ru2W3,Ru,W
1582,RuU,Ru,U
1583,Ru3U,Ru,U
1584,RuU2,Ru,U
1585,P4O6,P,O
1586,P2N5,P,N
1587,P3N5,P,N
1588,PI2,P,I
1589,PI3,P,I
1590,P2I4,P,I
1591,PI5,P,I
1592,PF3,P,F
1593,P2S3,P,S
1594,P4S3,P,S
1595,P2S5,P,S
1596,P4S7,P,S
1597,PCl3,P,Cl
1598,P4Se3,P,Se
1599,P2Te3,P,Te
1600,PBr3,P,Br
1601,PBr5,P,Br
1602,P2I4,P,I
1603,P4O10,P,O
1604,PF5,P,F
1605,P2S5,P,S
1606,P2S4,P,S
1607,P4S7,P,S
1608,PCl5,P,Cl
1609,PBr5,P,Br
1610,S2Cl2,S,Cl
1611,SCl2,S,Cl
1612,S2I2,S,I
1613,S2Br2,S,Br
1614,SO2,S,O
1615,S2F2,S,F
1616,SF6,S,F
1617,SO3,S,O
1618,S2F10,S,F
1619,N2S2,N,S
1620,N2S4,N,S
1621,N4S4,N,S
1622,SF4,S,F
1623,LuH2,Lu,H
1624,LuH3,Lu,H
1625,LuTc2,Lu,Tc
1626,Lu2Se3,Lu,Se
1627,Lu3Se4,Lu,Se
1628,Lu2Po3,Lu,Po
1629,LuTl,Lu,Tl
1630,Lu2Tl,Lu,Tl
1631,LuGe,Lu,Ge
1632,Lu5Ge3,Lu,Ge
1633,LuSi,Lu,Si
1634,LuB4,Lu,B
1635,LuB6,Lu,B
1636,LuBr3,Lu,Br
1637,LuI3,Lu,I
1638,Lu2S3,Lu,S
1639,Lu2O3,Lu,O
1640,LuBi,Lu,Bi
1641,LuSb,Lu,Sb
1642,LuAs,Lu,As
1643,LuN,Lu,N
1644,LuP,Lu,P
1645,LuC2,Lu,C
1646,Lu2C3,Lu,C
1647,LuBe13,Lu,Be
1648,LuCl3,Lu,Cl
1649,LuF3,Lu,F
1650,AlH3,Al,H
1651,AlN,Al,N
1652,AlI3,Al,I
1653,AlF3,Al,F
1654,AlP,Al,P
1655,Al2S3,Al,S
1656,AlCl3,Al,Cl
1657,AlAs,Al,As
1658,Al4C3,Al,C
1659,AlSb,Al,Sb
1660,Al2Se3,Al,Se
1661,Al5Te,Al,Te
1662,Al2Te3,Al,Te
1663,AlBr3,Al,Br
1664,AlB2,Al,B
1665,Al2O3,Al,O
1666,Cl2O,Cl,O
1667,ClO2,Cl,O
1668,(ClO3)2,Cl,O
1669,Cl2O7,Cl,O
1670,ClF,Cl,F
1671,ClF3,Cl,F
1672,ClF5,Cl,F
1673,ClN3,Cl,N
1674,MgPo,Mg,Po
1675,Mg2Th,Mg,Th
1676,Mg2Sr,Mg,Sr
1677,Mg3Sb2,Mg,Sb
1678,Mg3Bi2,Mg,Bi
1679,MgC2,Mg,C
1680,Mg2Pb,Mg,Pb
1681,MgB2,Mg,B
1682,Mg4Al3,Mg,Al
1683,MgBe13,Mg,Be
1684,MgSe,Mg,Se
1685,MgY,Mg,Y
1686,Mg5Y2,Mg,Y
1687,Mg24Y5,Mg,Y
1688,MgTe,Mg,Te
1689,Mg3As2,Mg,As
1690,Mg3P2,Mg,P
1691,Mg3N2,Mg,N
1692,Mg3In,Mg,In
1693,Mg5Tl2,Mg,Tl
1694,Mg2Ga5,Mg,Ga
1695,MgI2,Mg,I
1696,Mg2Cu,Mg,Cu
1697,MgF2,Mg,F
1698,Mg2Si,Mg,Si
1699,MgO2,Mg,O
1700,MgCl2,Mg,Cl
1701,MgS,Mg,S
1702,MgH2,Mg,H
1703,Mg2Sn,Mg,Sn
1704,MgBr2,Mg,Br
1705,MgO,Mg,O
1706,Mg2Ge,Mg,Ge
1707,Mg3Ag,Mg,Ag
1708,Mg2Zn3,Mg,Zn
1709,Mg3Cd,Mg,Cd
1710,Mg3Hg,Mg,Hg
1711,MgCo2,Mg,Co
1712,MgNi2,Mg,Ni
1713,Mg2Ni,Mg,Ni
1714,AmH2,Am,H
1715,AmH3,Am,H
1716,AmCl3,Am,Cl
1717,AmF3,Am,F
1718,AmBr3,Am,Br
1719,AmI3,Am,I
1720,AmO2,Am,O
1721,AmS,Am,S
1722,Am2S3,Am,S
1723,Am3Se4,Am,Se
1724,Am3Te4,Am,Te
1725,Am2Te3,Am,Te
1726,AmTe2,Am,Te
1727,AmTe3,Am,Te
1728,AmN,Am,N
1729,AmP,Am,P
1730,AmAs,Am,As
1731,AmSb,Am,Sb
1732,Am2C3,Am,C
1733,AmB4,Am,B
1734,AmB6,Am,B
1735,AmBe13,Am,Be
1736,AmPd3,Am,Pd
1737,AmPt5,Am,Pt
1738,AmRh3,Am,Rh
1739,AmSb,Am,Sb
1740,Mn2Zr,Mn,Zr
1741,Mn2Tc3,Mn,Tc
1742,MnZn3,Mn,Zn
1743,MnZn13,Mn,Zn
1744,Mn3Zn2,Mn,Zn
1745,MnHg,Mn,Hg
1746,Mn2Hg5,Mn,Hg
1747,MnNi,Mn,Ni
1748,MnNi2,Mn,Ni
1749,MnNi3,Mn,Ni
1750,Mn2As,Mn,As
1751,MnAs,Mn,As
1752,Mn3As,Mn,As
1753,Mn3As2,Mn,As
1754,Mn4As3,Mn,As
1755,MnSb,Mn,Sb
1756,Mn2Sb,Mn,Sb
1757,MnBi,Mn,Bi
1758,Mn3N2,Mn,N
1759,Mn4N,Mn,N
1760,MnB,Mn,B
1761,Mn2B,Mn,B
1762,Mn5C2,Mn,C
1763,Mn7C3,Mn,C
1764,Mn4C,Mn,C
1765,Mn3C2,Mn,C
1766,SiMn,Si,Mn
1767,SiMn2,Si,Mn
1768,Si3Mn,Si,Mn
1769,Mn5Ge2,Mn,Ge
1770,Mn3Ge2,Mn,Ge
1771,Mn5Ge3,Mn,Ge
1772,MnSn2,Mn,Sn
1773,Mn8Sn3,Mn,Sn
1774,MnB,Mn,B
1775,MnB2,Mn,B
1776,Mn2B,Mn,B
1777,Mn4B,Mn,B
1778,MnAl,Mn,Al
1779,MnAl3,Mn,Al
1780,MnAl4,Mn,Al
1781,MnAl6,Mn,Al
1782,Mn3In,Mn,In
1783,MnBe2,Mn,Be
1784,MnP,Mn,P
1785,Mn3P,Mn,P
1786,Mn3P2,Mn,P
1787,MnP3,Mn,P
1788,MnI2,Mn,I
1789,MnF2,Mn,F
1790,MnF3,Mn,F
1791,MnF4,Mn,F
1792,MnS,Mn,S
1793,MnCl2,Mn,Cl
1794,MnCl3,Mn,Cl
1795,Mn3C,Mn,C
1796,MnBr2,Mn,Br
1797,MnO,Mn,O
1798,Mn3O4,Mn,O
1799,Mn2O3,Mn,O
1800,MnO2,Mn,O
1801,Mn2O7,Mn,O
1802,MnB,Mn,B
1803,MnB2,Mn,B
1804,MnS,Mn,S
1805,MnSe,Mn,Se
1806,MnSe2,Mn,Se
1807,MnTe,Mn,Te
1808,MnTe2,Mn,Te
1809,MnPo,Mn,Po
1810,MoBe2,Mo,Be
1811,MoTc4,Mo,Tc
1812,Mo3Tc7,Mo,Tc
1813,Mo2Zr,Mo,Zr
1814,MoU2,Mo,U
1815,MoRe3,Mo,Re
1816,Mo3Re,Mo,Re
1817,Mo2Re3,Mo,Re
1818,MoFe,Mo,Fe
1819,MoFe2,Mo,Fe
1820,Mo2Fe3,Mo,Fe
1821,Mo3Co2,Mo,Co
1822,MoCo3,Mo,Co
1823,Mo2Co9,Mo,Co
1824,MoNi,Mo,Ni
1825,MoNi3,Mo,Ni
1826,MoNi4,Mo,Ni
1827,MoRh2,Mo,Rh
1828,Mo5Ru3,Mo,Ru
1829,MoPd,Mo,Pd
1830,Mo3As4,Mo,As
1831,Mo4As5,Mo,As
1832,MoAs,Mo,As
1833,Mo5As4,Mo,As
1834,MoAs2,Mo,As
1835,MoAs5,Mo,As
1836,MoP,Mn,P
1837,MoP2,Mn,P
1838,Mo3P,Mn,P
1839,Mo3P2,Mn,P
1840,Mo3P5,Mn,P
1841,MoB4,Mo,B
1842,Mo2B,Mo,B
1843,MoC,Mo,C
1844,Mo2C,Mo,C
1845,Mo3Si,Mo,Si
1846,Mo3Ge,Mo,Ge
1847,MoGe2,Mo,Ge
1848,Mo2Ge3,Mo,Ge
1849,Mo3Sn,Mo,Sn
1850,MoF3,Mo,F
1851,MoF5,Mo,F
1852,MoF6,Mo,F
1853,Mo2N,Mo,N
1854,Mo2C,Mo,C
1855,Mo2S3,Mo,S
1856,Mo2S5,Mo,S
1857,MoS2,Mo,S
1858,MoSe2,Mo,Se
1859,MoSe3,Mo,Se
1860,Mo3Se4,Mo,Se
1861,MoTe2,Mo,Te
1862,Mo3Te4,Mo,Te
1863,MoN,Mo,N
1864,Mo2N,Mo,N
1865,MoCl4,Mo,Cl
1866,MoCl5,Mo,Cl
1867,MoBr2,Mo,Br
1868,MoBr3,Mo,Br
1869,MoBr4,Mo,Br
1870,MoBr6,Mo,Br
1871,Mo6I12,Mo,I
1872,MoB,Mo,B
1873,MoB2,Mo,B
1874,Mo2B,Mo,B
1875,MoAl2,Mo,Al
1876,MoAl3,Mo,Al
1877,MoAl5,Mo,Al
1878,MoAl12,Mo,Al
1879,Mo3Ga,Mo,Ga
1880,MoGa4,Mo,Ga
1881,Mo2Hg3,Mo,Hg
1882,MoHg2,Mo,Hg
1883,MoHg9,Mo,Hg
1884,MoO2,Mo,O
1885,MoO3,Mo,O
1886,NpH2,Np,H
1887,NpH3,Np,H
1888,NpU,Np,U
1889,NpBe13,Np,Be
1890,NpBr3,Np,Br
1891,NpBr4,Np,Br
1892,NpI3,Np,I
1893,NpP,Np,P
1894,Np3P4,Np,P
